RIMUNICIPALITY,TOT_POP_00,Pct_White_00,Pct_Black_00,Pct_AIAN_00,Pct_ASN_00,Pct_NHOPI_00,Pct_Oth_00,Pct_2Race_00,Pct_HISP_00,Pct_NHISP_00,Pct_NHW_00,Pct_NHB_00,Pct_NHA_00,Pct_NHNHOPI_00,Pct_NHAI_00,Pct_NHOTH_00,Pct_NH2Race_00,Num_Child618_00,Num_Male618_00,Num_Female618_00,Num_Child018_00,Pct_Under18_00,Pct_65Over_00,Pct_workingAge_00,Tot_HH_00,Pct_popinHH_00,Pct_PopinFamHH_00,Presence_Child_Denom_00,Pct_SINGFEM_WOK_00,Pct_SINGMAL_WOK_00,Pct_MC_WOK_00,Num_FamHH_WOK_00,Pct_FEMHEADFAM_00,HHSIZE_DENOM_00,Pct_FamHH_00,Pct_NonFamHH_00,Tot_Families_00,Pct_SINGFEM_WRK_00,Pct_SINGMAL_WRK_0,Pct_MC_WRK_00,Num_FamHH_WRK_00,Tot_Pop_15Over_00,Pct_Male_15Over_00,Pct_Female_15Over_00,Lang_Denom_00,Tot_pop_517_00,Pct_517_Spnsh_AH_00,Pct_517_SPAN_ENW_00,Pct_517_ENW_00,WORKAGE_SE_DENOM_00,PCT_1864_ENGNOTWELL_00,Linguistic_ISO_00,Pct_HH_Ling_ISO_00,Citizenship_Denom_00,Pct_FORNBORN_00,Foreign_Born_Denom_00,Pct_Emigrated9000_00,Foreign_Born_byyear_Denom_00,Pct_Emi9000_NotCitizens_00,Diff_Res_Denom_00,Pct_DiffHouse_00,Pct_DiffHouse_SameCnty_00,Pct_DiffState_00,Transport_Denom_00,School_enroll_denom_00,Pct_enroll_PK12_00,Pct_enroll_PubPK12_00,EDUC_Denom_00,Pct_NoEDUC_00,Pct_EDUC8th_00,Pct_NODiploma_00,Pct_HSDiploma_00,Disability_Denom_00,Pct_515_wDis_00,Pct_1520_withDis_00,Fem16_Denom_00,Pct_Fem16_wk_00,Pct_Fem16_wk_emp_00,Pct_Fem16_wk_unemp_00,HH_Inc_Denom_00,Pct_HHINC_U25K_00,Pct_HHINC_2550K_00,Pct_HHINC_U50K_00,Pct_HHINC_5075K_00,Pct_HHINC_U75K,Pct_HHINC_75100K_00,Pct_HHINC_U100K_00,Pct_HHINC_MT100K_00,Pub_assist_denom_00,Pct_PubAssist_00,FAM_Inc_Denom_00,Pct_FAMINC_U25K_00,Pct_FAMINC_2550K_00,Pct_FAMINC_5075K_00,Pct_FAMINC_75100K_00,Pct_FAMINC_MT100K_00,PCAP_Inc_00,POV_RAT_D_00,Pct_POV_00,Pct_POV_u18_00,Pct_ABVPOVLINE_00,Above_PovertyLine_00,POV_RAT_DINC_00,Pct_POVRAT50_00,Pct_POVRAT50100_00,Pct_POVRAT100150_00,Pct_POVRAT150200_00,Pct_POVRAT200_00,Pct_POVRAT_G200_00,POV_RAT_Denom_fam_00,Pct_POV_married_00,Pct_abovePovLine_married_00,POVRAT_FAM_Denom_00,Pct_POV_fam_chldrn_00,Pct_ABVPOV_fam_chldrn_00,HH_INCPOV_Denom_00,Pct_HHPOVu150_fam_00,Pct_HHPOVg150_fam_00,TOTHSUN_00,OCCHU_00,Pct_OWNOCC_00,Pct_RNTOCC_00,OCCHU_Race_Denom_00,Pct_OCCW_00,Pct_OCCB_00,Pct_OCCI_00,Pct_OCCA_00,Pct_OCCP_00,Pct_OCCO_00,Pct_OCCM_00,TOCCHU_OWNOCCRace_Denom_00,Pct_OWNOCCW_00,Pct_OWNOCCB_00,Pct_OWNOCCI_00,Pct_OWNOCCA_00,Pct_OWNOCCP_00,Pct_OWNOCCO_00,Pct_OWNOCCM_00,Pct_RNTOCCW_00,Pct_RNTOCCB_00,Pct_RNTOCCI_00,Pct_RNTOCCA_00,Pct_RNTOCCP_00,Pct_RNTOCCO_00,Pct_RNTOCCM_00,OCCHUH_00,Pct_OCCH_OWNOCC_00,Pct_OCCH_RNTOCC_00,OCCHUW_00,Pct_OCCW_OWNOCC_00,Pct_OCCW_RNTOCC_00,Tot_Pop_OCCHU_00,Pct_Pop_OWNOCC_00,Pct_Pop_RNTOCC_00,OCCHU_HHSZE_Denom_00,Pct_1PRSNHH_00,Pct_24PRSNHH_00,Pct_g5PRSNHH_00,Avg_HHSZE_OCCHU_00,Avg_HHSZE_OWNOCC_00,Avg_HHSZE_RNTOCC_00,OCCHU_OCCperRM_Denom_00,OCCHU100_00,OCCHU151200_00,Total_HU_00,Pct_BLTYR902000_00,Pct_BLTYR8089_00,Pct_BLTYR6079_00,Pct_BLTYR4059_00,Pct_BLTYR39_00,OCCHU_BLTYR_Denom_00,Pct_BLTOC902000_00,Pct_BLTOC8089_00,Pct_BLTOC6079_00,Pct_BLTOC4059_00,Pct_BLTOC39_00,Pct_BLTRE902000_00,Pct_BLTRE8089_00,Pct_BLTRE6079_00,Pct_BLTRE4059_00,Pct_BLTRE39_00,RNTOCC_GR_Denom_00,Pct_R10PI_00,Pct_R19PI_00,Pct_R29PI_00,Pct_R39PI_00,Pct_R49PI_00,Pct_R50PI_00,Pct_RNCPI_00,RNTOCC_HHINC_Denom_00,PCT_R30PI_00,PCT_RG30PI_00,OWNOCC_COSTINC_Denom_00,PCT_OWNOCC_M30PI_00,PCT_OWNOCC_MG30PI_00,PCT_OCCHU_00,PCT_VCTHU_00,Pct_Bachelor_00,Pct_PostBachDeg_00,PCT_ATLEAST_HS_DIPLOMA_00,Pct_Drivealone_00,Pct_PublicTransport_00,Pct_Emp_16o_00
Barrington,16819,96.42666032,0.725370117,0.07134788,1.337772757,0,0.225934955,1.212913966,0.927522445,99.07247756,95.89155122,0.68375052,1.337772757,0,0.07134788,0,1.088055176,2219,1902,1791,4935,29.3418158,14.6917177,57.19721743,16819,97.5563351,88.97675248,6023,4.001328242,0.647517848,35.41424539,2413,9.987567344,6023,78.79794123,21.20205877,4746,10.4815864,2.063941724,87.45447187,2471,12945,47.67091541,52.32908459,15836,3745,2.857142857,0,0.240320427,9620,0.51975052,6023,1.145608501,16819,5.618645579,945,26.77248677,253,67.98418972,15836,33.78378378,29.10280374,36.11214953,7805,16252,13.25375338,79.71216342,11195,0.419830281,1.563197856,7.637338097,16.40017865,15818,0.531040587,0.316095587,6564,37.11151737,69.08866995,1.929392447,6023,13.8967292,19.3093143,33.2060435,17.08450938,50.29055288,15.29138303,65.58193591,34.41806409,6023,0.846754109,3478,6.497987349,16.41748131,17.16503738,17.30879816,42.6106958,115607,11925,3.362683438,23.44139651,96.63731656,0.293561263,11925,1.241090147,2.121593291,2.046121593,4.016771488,9.42557652,7448.965517,11925,56.35910224,83.52134675,3478,41.4893617,52.74822695,6023,46.799117,81.40035907,6199,6011,88.35468308,11.64531692,6011,97.67093662,0.316087174,0,1.364165696,0,0.199634004,0.44917651,6011,97.75936735,0.35774807,0,1.543965355,0,0.22594615,0.112973075,97,0,0,0,0,0,3,49,77.55102041,22.44897959,5834,88.54988001,11.45011999,16408,90.32788883,9.672111165,6011,18.73232407,70.70370987,10.56396606,10.91,11.15,10.01,6011,99.78372983,0.216270171,6199,6.43652202,6.98499758,20.55170189,37.84481368,28.18196483,6011,6.759555639,7.154961401,21.69083035,38.84390887,25.55074374,5.428571429,6,12.71428571,30.42857143,45.42857143,700,5.285714286,24.42857143,24.42857143,10.14285714,9.428571429,13.71428571,12.57142857,700,54.14285714,33.28571429,5097,75.61310575,24.38689425,96.96725278,3.032747217,29.53104064,23.68021438,69.61143368,84.83023703,2.280589366,95.95530183
Bristol,22469,97.35190707,0.547420891,0.124616138,0.574124349,0,0.502915128,0.899016423,1.784681116,98.21531888,96.26596644,0.413903601,0.547420891,0,0.089011527,0.053406916,0.845609506,2351,1767,1844,4999,22.24843117,17.84236059,62.53949887,22469,90.63153678,76.06480039,8311,4.283479726,1.528095295,22.33184936,2339,15.22017956,8311,68.15064373,31.84935627,5664,15.91737546,5.467800729,78.61482382,2469,18786,47.38102843,52.61897157,21340,3279,0.487953644,56.25,0.670936261,14052,2.825220609,8311,5.5468656,22469,13.93475455,3131,13.19067391,413,72.39709443,21340,39.18931584,51.38108334,31.57957671,10895,21887,8.662676475,70.99156118,14994,2.867813792,10.46418567,25.91703348,25.59023609,20802,0.326891645,0.572060379,9783,23.59194521,73.52686308,1.559792028,8311,28.15545662,27.34929611,55.50475274,19.78101312,75.28576585,12.17663338,87.46239923,12.53760077,8311,3.994705812,5664,16.11935028,28.10734463,23.64053672,15.23658192,16.89618644,82499,20355,8.052075657,26.60158633,91.94792434,0.209660184,20355,3.11471383,4.937361828,5.836403832,7.998034881,21.88651437,2523.809524,20355,28.49298353,72.3552041,5664,73.22033898,41.96312162,8311,40.51603905,73.91304348,8705,8314,66.00914121,33.99085879,8314,98.09959105,0.324753428,0.096223238,0.252586,0,0.396920856,0.829925427,8314,98.92492711,0.12755102,0,0.309766764,0,0.145772595,0.491982507,96.49681529,0.707714084,0.283085633,0.141542817,0,0.884642604,1.486199575,91,19.78021978,80.21978022,8088,67.00049456,32.99950544,20364,70.74739737,29.25260263,8314,26.16069281,66.10536445,7.733942747,9.77,10.2,8.6,8314,97.91917248,2.08082752,8705,10.02871913,12.28029868,25.47960942,18.5066054,33.70476738,8314,13.62973761,16.78206997,28.86297376,18.13046647,22.59475219,3.255484784,4.600141543,21.26680821,19.85138004,51.02618542,2826,7.183297948,27.9547063,20.87756546,13.12809625,5.16631281,15.85279547,9.837225761,2826,56.01556971,34.14720453,4648,70.78313253,29.21686747,95.50832855,4.491671453,16.01974123,10.23075897,51.84073629,79.45846719,2.698485544,95.34686253
Burrillville,15796,98.05013928,0.633071664,0.063307166,0.044315016,0,0.493795898,0.71537098,0.785008863,99.21499114,97.60698911,0.588756647,0.044315016,0,0.063307166,0.240567232,0.671055964,2063,1721,1518,4318,27.33603444,11.38895923,62.83236262,15796,96.89161813,86.51557356,5544,5.140692641,2.11038961,30.42929293,2089,13.64289134,5544,76.47907648,23.52092352,4240,13.56807512,5.727699531,80.70422535,2130,12520,48.40255591,51.59744409,14901,3177,1.636764243,9.615384615,0.409191061,9925,0.604534005,5544,0.847763348,15796,1.702962775,269,11.15241636,30,70,14901,36.76263338,82.56663016,13.43556042,8288,15271,12.41568987,83.75527426,10520,0.171102662,5.171102662,19.64828897,35.02851711,14547,0.818038083,0.921152128,6351,32.67202015,78.55421687,2.313253012,5544,18.7950938,27.84992785,46.64502165,27.11038961,73.75541126,13.61832612,87.37373737,12.62626263,5544,3.354978355,4240,10.30660377,28.86792453,29.95283019,16.29716981,14.5754717,62581,15323,6.082359851,25.32188841,93.91764015,0.257800014,15323,3.223911767,2.858448085,4.751027867,5.677739346,16.51112706,4100.320513,15323,33.58369099,76.97866722,4240,67.51592357,49.57139358,5544,44.02332362,81.0621655,5821,5559,76.79438748,23.20561252,5559,98.92066919,0.23385501,0,0,0,0.323799244,0.521676561,5559,99.06301242,0,0,0,0,0.421644413,0.515343172,98.4496124,1.007751938,0,0,0,0,0.542635659,36,66.66666667,33.33333333,5472,77.01023392,22.98976608,15305,81.52891212,18.47108788,5559,18.76236733,70.48030221,10.75733046,8.32,8.73,7.32,5559,98.38100378,1.618996222,5821,9.637519327,18.00377942,28.36282426,14.2071809,29.7886961,5559,12.6493324,21.29304287,31.52963223,12.39166081,22.13633169,1.627906977,9.147286822,17.90697674,18.21705426,53.10077519,1270,8.188976378,29.76377953,22.04724409,11.18110236,6.220472441,17.79527559,4.803149606,1270,60,35.19685039,1889,68.55479089,31.44520911,95.49905515,4.500944855,11.15019011,5.009505703,51.18821293,85.55743243,0.69980695,95.05771601
Central Falls,18928,57.31191885,5.388841927,0.861158073,0.470202874,0.142645816,28.04839391,7.776838546,47.97654269,52.02345731,39.97781065,4.136728656,0.470202874,0.142645816,0.338123415,2.668005072,4.289940828,2463,1998,1960,5730,30.272612,11.34298394,59.73689772,18928,96.87764159,82.53909552,6715,16.99180938,2.889054356,20.32762472,2700,42.25925926,6715,65.91213701,34.08786299,4426,40.88359046,8.941093969,50.17531557,2852,14313,47.90749668,52.09250332,17388,3934,57.29537367,20.76308784,13.44687341,11307,26.38188733,6715,24.43782576,18928,35.1067202,6645,48.89390519,3249,91.68975069,17388,55.70508397,57.43340904,20.40057815,7000,17995,12.30897472,91.91873589,11282,6.266619394,18.00212728,50.88636767,28.00921822,16835,1.306801307,1.1998812,7315,35.78947368,50,6.378915202,6715,53.46239762,29.88830975,83.35070737,10.81161579,94.16232316,3.216679077,97.37900223,2.620997766,6715,13.17944899,4426,46.24943516,34.003615,12.1554451,3.908721193,3.682783552,43077,18307,29.02714809,41.58825743,70.97285191,0.245516817,18307,13.2626864,15.76446168,16.23968974,13.02780357,58.29464139,482.3120657,18307,28.34023335,59.32425152,4426,86.13775065,56.84659957,6715,59.5513032,71.14549403,7270,6696,21.78912784,78.21087216,6696,64.90442055,4.435483871,1.105137395,0.209080048,0.104540024,22.32676225,6.914575866,6696,75.25702536,1.850582591,0,0.548320768,0,14.25633996,8.087731323,62.0202406,5.155623449,1.413022723,0.11456941,0.133664312,24.57513844,6.587741073,2593,11.18395681,88.81604319,3442,29.9535154,70.0464846,18337,24.81867263,75.18132737,6696,29.15173238,55.77956989,15.06869773,10.99,12.52,10.57,6696,90.36738351,9.632616487,7270,3.672627235,3.493810179,17.79917469,28.04676754,46.98762036,6696,0.68540096,1.919122687,10.89787526,24.53735435,61.96024674,4.640061104,4.14359366,20.46973458,28.12679015,42.61982051,5237,6.931449303,24.97613137,23.92591178,12.33530647,7.637960665,18.67481382,5.51842658,5237,55.83349246,38.64808096,215,65.58139535,34.41860465,92.1045392,7.895460798,3.793653608,1.914554157,33.71742599,62.44285714,2.728571429,91.8278468
Charlestown,7859,97.28973152,0.152691182,0.776180176,0.381727955,0,0.216312508,1.183356661,1.285150783,98.71484922,96.15727192,0.152691182,0.381727955,0,0.776180176,0.063621326,1.183356661,808,658,632,1784,22.70008907,14.30207406,63.74856852,7859,99.4146838,84.62908767,3161,3.385004745,2.024675736,23.91648213,927,11.54261057,3161,71.59126859,28.40873141,2263,14.04212638,6.419257773,79.53861585,997,6420,49.47040498,50.52959502,7409,1275,2.745098039,0,0,5010,0.279441118,3161,0.442897817,7859,2.201297875,173,11.56069364,20,100,7409,44.5944122,52.54237288,29.08595642,4034,7593,9.627288292,86.86730506,5637,0.745077169,1.295015079,10.02306191,31.96735852,7364,1.357957632,0.312330255,3192,28.41478697,75.6339581,1.764057332,3161,18.19044606,29.07307814,47.2635242,25.59316672,72.85669092,13.09712116,85.95381208,14.04618792,3161,2.404302436,2263,10.6495802,29.12063632,28.41361025,15.77551922,16.040654,51201,7791,5.082787832,19.6969697,94.91721217,0.21352265,7791,1.642921319,3.439866513,6.366320113,6.237966885,17.68707483,3910.365854,7791,39.64646465,75.19945909,2263,61.76470588,43.50797267,3161,55.8739255,73.54196302,4797,3178,83.82630585,16.17369415,3178,97.48269352,0.188797986,1.038388924,0.377595972,0,0.377595972,0.534927627,3178,97.93543544,0.225225225,1.013513514,0.45045045,0,0.075075075,0.3003003,95.13618677,0,1.167315175,0,0,1.945525292,1.750972763,12,16.66666667,83.33333333,3098,84.21562298,15.78437702,7813,84.53858953,15.46141047,3178,21.61736941,71.05097546,7.331655129,4.89,4.94,4.71,3178,97.95468848,2.045311517,4797,21.36752137,25.26579112,33.91703148,11.44465291,8.005003127,3178,24.36186186,29.05405405,26.35135135,11.2987988,8.933933934,11.86770428,21.01167315,33.46303502,17.3151751,16.34241245,486,9.259259259,35.59670782,17.90123457,8.024691358,10.90534979,16.04938272,2.263374486,486,62.75720165,34.97942387,2255,77.96008869,22.03991131,66.24973942,33.75026058,17.88185205,11.58417598,61.43338655,84.18443233,0.520575112,97.56616257
Coventry,33638,97.93685713,0.285391521,0.026755455,0.487543849,0,0.157559902,1.105892146,0.716451632,99.28354837,97.45525893,0.258636066,0.487543849,0,0.026755455,0,1.055354064,3925,3219,3105,8662,25.75063916,13.4015102,62.09643855,33638,98.41250966,86.65497354,12574,4.294576109,1.924606331,28.081756,4313,12.5202875,12574,73.92237951,26.07762049,9295,13.06366048,6.343943413,80.59239611,4524,26716,47.69052253,52.30947747,31581,6185,1.438965238,20.2247191,0.485044462,20888,0.488318652,12574,1.240655321,33638,3.427671086,1153,14.31049436,165,69.6969697,31581,34.21044299,66.14216957,11.1625324,17370,32370,10.44176707,86.24260355,23172,0.612808562,4.440704298,16.6450889,34.47695495,31071,0.485983715,0.485983715,13737,31.46975322,80.66157761,2.151283831,12574,21.09909337,25.85493876,46.95403213,26.79338317,73.7474153,15.50819151,89.25560681,10.74439319,12574,1.662160013,9295,11.13501883,25.41151157,30.93060785,19.05325444,13.46960732,153765,33068,5.228619814,27.81954887,94.77138019,0.244679154,33068,1.817467038,3.411152776,3.901052377,6.858594412,15.9882666,4569.243421,33068,30.01735107,78.18692364,9295,69.25373134,47.90178571,12574,42.39504474,78.04154303,13063,12597,81.4400254,18.5599746,12597,98.55521156,0.214336747,0,0.254028737,0,0.142891165,0.833531793,12597,98.81080027,0,0,0.214445852,0,0.175455697,0.799298177,97.43370402,1.154833191,0,0.427715997,0,0,0.983746792,69,73.91304348,26.08695652,12390,81.68684423,18.31315577,33104,85.40961817,14.59038183,12597,21.14789236,69.94522505,8.906882591,18.59,19.31,15.15,12597,98.87274748,1.12725252,13063,14.96593432,16.36683763,35.8646559,19.83464748,12.96792467,12597,17.33112389,17.60405498,34.85719856,20.29437567,9.913246905,4.96150556,11.29170231,38.87938409,18.69118905,26.17621899,2309,7.665656128,26.46167172,22.47726288,13.72888696,10.39411,13.20918146,6.063230836,2309,56.60459073,37.33217843,8669,78.15203599,21.84796401,96.43267243,3.567327566,14.82392543,4.932677369,54.23355774,88.08290155,0.466321244,96.28572967
Cranston,79269,88.96289848,3.185356192,0.281320567,3.162648703,0,2.121888759,2.285887295,4.575559172,95.42444083,87.02014659,3.004957802,3.144987322,0,0.223290315,0.254828495,1.776230304,8678,7418,5927,18494,23.33068413,17.43430597,60.74001186,79269,94.11245254,78.57926806,30971,5.715023732,1.595040522,21.51690291,8928,19.82526882,30971,65.75506119,34.24493881,20365,21.17236271,5.533805946,73.29383134,9451,65299,47.91191289,52.08808711,75081,13113,7.153206741,7.569296375,1.273545337,48148,2.319930215,30971,2.770333538,79269,9.031273259,7159,24.3749127,1745,77.82234957,75081,37.15720355,66.05849882,14.68922503,35991,76770,10.30220138,82.89290682,55886,1.274022116,5.312600651,21.24861325,28.69412733,70988,0.577562405,0.53671043,33557,26.20615669,70.94609961,3.502387992,30971,27.0478835,28.74624649,55.79412999,21.44263989,77.23676988,11.53982758,88.77659746,11.22340254,30971,3.303089987,20365,15.89491775,28.27890989,25.4407071,15.38423766,15.0012276,378437,74721,7.276401547,27.51517381,92.72359845,0.216875469,74721,2.977743874,4.298657673,5.591466924,7.748825631,20.6166941,3052.804941,74721,23.50560971,68.59015068,20365,69.58808063,45.03225135,30971,43.37662338,69.67857007,32068,30954,66.77973768,33.22026232,30954,93.4515733,1.670220327,0.26167862,2.009433353,0,1.140401887,1.466692511,30954,94.96395917,1.20942383,0.120942383,1.867350394,0,0.604711915,1.233612307,90.41135855,2.596518526,0.544588155,2.295050083,0,2.217251775,1.935232909,760,45.39473684,54.60526316,28595,68.05385557,31.94614443,74602,73.60526527,26.39473473,30954,29.42753764,62.96762939,7.604832978,41.04,44.77,33.2,30954,98.41377528,1.586224721,32068,7.25333666,10.94549083,23.43145815,31.72944992,26.64026444,30954,9.196458807,10.87513908,20.48280199,33.1914276,26.25417251,3.607896528,11.76699407,29.14519109,27.93931732,27.54060099,10283,5.708450841,27.56005057,26.58757172,13.73140134,5.212486628,15.58883594,5.611202956,10283,59.85607313,34.53272391,9599,64.09000938,35.90999062,96.52613197,3.47386803,15.59066671,9.004043947,53.28883799,84.70450946,2.356144592,95.1683148
Cumberland,31840,95.98932161,0.753768844,0.012562814,1.237437186,0,1.369346734,0.637562814,2.145100503,97.8548995,94.89635678,0.700376884,1.237437186,0,0.012562814,0.458542714,0.549623116,3420,2823,2725,8057,25.30464824,16.13065327,59.64824121,31840,99.24309045,87.83919598,12185,4.357816988,0.804267542,27.78826426,4015,13.22540473,12185,74.38654083,25.61345917,9064,13.84140551,3.228869896,82.9297246,4212,25390,46.67191808,53.32808192,29832,5704,3.523842917,2.985074627,0.683730715,18992,2.632687447,12185,3.898235535,31840,9.309045226,2964,19.60188934,581,70.91222031,29832,33.61826227,71.39296041,21.2483797,16221,30608,10.7096184,85.23489933,22377,1.255753676,6.479867721,18.63520579,27.07690933,29586,0.811194484,0.547556277,13363,30.5545162,76.87974529,2.963507225,12185,20.65654493,24.94050062,45.59704555,23.00369307,68.60073861,13.77923677,82.37997538,17.62002462,12185,2.002462043,9064,11.65048544,23.98499559,25.739188,16.49382171,22.13150927,152909,31592,3.912382882,19.17475728,96.08761712,0.244926868,31592,1.348442644,2.563940238,4.66890352,5.305140542,13.88642694,5056.69145,31592,31.7961165,77.6090394,9064,62.30769231,46.00181736,12185,39.81348637,78.85274766,12572,12198,76.66010821,23.33989179,12198,97.04049844,0.713231677,0,0.721429743,0,0.983767831,0.541072307,12198,97.74355684,0.481231954,0,0.737888996,0,0.609560475,0.427761737,94.7312961,1.475237092,0,0.667369161,0,2.212855638,0.913242009,146,21.91780822,78.08219178,11774,77.45031425,22.54968575,31599,83.5089718,16.4910282,12198,22.29053943,69.00311526,8.706345303,15.73,16.88,10.09,12198,99.23757993,0.762420069,12572,12.98918231,13.75278396,28.62710786,24.36366529,20.26726058,12198,14.85402631,14.51181692,30.34969522,25.85819698,14.42626457,8.570425009,11.55602388,24.09553916,19.28345627,36.49455567,2833,9.636427815,28.8386869,24.74408754,10.87186728,5.930109425,13.51923756,6.45958348,2833,63.21920226,30.32121426,4008,69.08682635,30.91317365,97.02513522,2.974864779,19.50663628,9.974527417,56.55807302,87.15862154,1.257628999,96.34437394
East Greenwich,12948,95.62094532,0.872721656,0.023169601,1.992585728,0,0.30892802,1.181649676,0.725980846,99.27401915,95.00308928,0.872721656,1.992585728,0,0.023169601,0.200803213,1.181649676,1815,1506,1285,3730,28.80753784,13.52332407,58.89712697,12948,98.96509113,86.41489033,4963,4.07011888,1.229095305,30.88857546,1796,11.24721604,4963,71.65021157,28.34978843,3556,11.54898741,3.338806787,85.1122058,1827,9990,47.91791792,52.08208208,12189,2812,0.711237553,0,0,7626,0.340938893,4963,1.027604272,12948,4.780661106,619,25.84814216,160,72.5,12189,38.88752154,36.20253165,33.41772152,6011,12570,13.91408115,80.61749571,8733,0.263368831,1.167983511,7.420130539,15.20668728,12183,0.45144874,0.14774686,5142,34.81135745,59.60893855,2.122905028,4963,17.26778158,18.75881523,36.02659682,17.81180737,53.83840419,12.41184767,66.25025186,33.74974814,4963,1.793270199,3556,8.183352081,14.2575928,17.29471316,14.76377953,45.50056243,112464,12940,4.683153014,24.25742574,95.31684699,0.276958002,12940,1.646058733,3.037094281,3.238021638,3.523956723,11.44513138,4373.664122,12940,18.31683168,80.13620885,3556,73.03370787,50.82203634,4963,30.66132265,76.23207885,5226,4960,76.02822581,23.97177419,4960,96.37096774,1.008064516,0.120967742,1.955645161,0,0.221774194,0.322580645,4960,96.49960223,1.166799257,0,1.856271546,0,0.291699814,0.185627155,95.96299411,0.504625736,0.504625736,2.270815812,0,0,0.756938604,29,48.27586207,51.72413793,4755,76.31966351,23.68033649,12814,86.06211956,13.93788044,4960,24.23387097,65.66532258,10.10080645,7.9,8.6,5.93,4960,99.45564516,0.544354839,5226,14.50440107,16.72407195,33.56295446,16.22655951,18.98201301,4960,14.69106338,19.78255105,35.29567754,18.19146115,12.03924688,7.737594617,8.915054668,31.37089992,13.62489487,38.35155593,1177,6.881903144,25.82837723,23.44944775,11.38487681,5.862361937,20.7306712,5.862361937,1177,56.15972812,37.97790994,3380,77.07100592,22.92899408,94.91006506,5.089934941,31.74166953,24.8139242,71.762281,86.74097488,1.597072035,94.76951731
East Providence,48688,86.45251397,4.855405849,0.60384489,1.150180743,0,2.127834374,4.810220177,1.825911929,98.17408807,85.51593822,4.72806441,1.150180743,0,0.570982583,1.59587578,4.613046336,4908,4086,3847,11091,22.77974039,18.8198324,59.56703911,48688,98.44314821,80.25180743,20547,6.750377184,1.669343456,18.96627245,5627,24.64901368,20547,62.66608264,37.33391736,12876,26.00232906,6.1553818,67.84228914,6011,40008,45.43841232,54.56158768,46095,7930,2.471626734,10.71428571,2.723833544,29002,4.623819047,20547,5.845135543,48688,15.95670391,7769,19.66791093,1528,78.0104712,46095,35.22290921,66.37102735,17.91697462,22434,47125,9.597877984,82.29051514,34489,2.876279393,8.944880977,28.94836035,29.35718635,45410,0.614402114,0.376569038,21542,26.2231919,73.26960524,3.699769871,20547,32.58383219,30.40833212,62.99216431,22.13948508,85.13164939,8.585194919,93.71684431,6.283155692,20547,3.776707062,12876,20.0139795,31.71015843,28.16868593,11.14476546,8.962410687,203632,47917,8.619070476,27.26392252,91.38092952,0.211386941,47917,3.41632406,5.202746416,7.168645783,9.165849281,24.95356554,2203.431373,47917,21.96125908,65.20428438,12876,75.86633663,44.7298641,20547,40.48729912,67.79315717,21309,20530,58.95762299,41.04237701,20530,87.26741354,4.861178763,0.8037019,0.96444228,0,1.860691671,4.242571846,20530,90.8129544,3.63516193,0.371777925,0.817911434,0,1.54494382,2.817250496,82.17422264,6.622359364,1.424163304,1.174934726,0,2.314265369,6.290054593,200,24,76,17874,61.43560479,38.56439521,47930,67.19799708,32.80200292,20530,32.43058938,60.75499269,6.814417925,23.4,26.58,18.21,20530,98.18801754,1.811982465,21309,4.782016988,8.874184617,29.64005819,26.81496081,29.88877939,20530,4.816589557,4.750495704,21.52181097,33.4021811,35.50892267,4.676002848,15.33349157,40.13766912,18.02753382,21.82530263,8426,5.922145739,27.69997626,26.40636126,12.73439354,6.11203418,16.25919772,4.865891289,8426,60.02848327,35.10562545,5180,68.61003861,31.38996139,96.34426768,3.65573232,12.36626171,5.682971382,47.40641944,82.59338504,2.585361505,94.4514811
